Year,Town Code,Town,Sheltered Homeless,Unsheltered Homeless,Total Homeless,Percentage of Homelessness,Homeless Youth,Homeless Veterans,Chronic Homeless,Percentage White,Percentage Black,Percentage Hispanic,Median Age
2007,1,Andover,102.0,514.0,616,0.81,273,88,255,83.8,9.67,22.91,18.7
2007,2,Ansonia,435.0,217.0,652,1.14,137,242,273,79.16,41.58,35.36,35.0
2007,3,Ashford,186.5,186.5,373,0.47,203,16,154,48.41,6.75,7.5,56.9
2007,4,Avon,270.0,391.0,661,1.32,301,222,138,65.61,34.65,10.58,32.8
2007,5,Barkhamsted,106.0,478.0,584,0.75,209,209,166,64.37,17.27,27.46,37.3
2007,6,Beacon Falls,71.0,63.0,134,0.4,18,98,18,71.25,44.22,20.16,59.2
2007,7,Berlin,263.5,263.5,527,1.1,293,12,222,87.31,26.82,18.31,26.4
2007,8,Bethany,20.0,646.0,666,1.34,292,318,56,68.99,18.75,8.02,20.7
2007,9,Bethel,614.0,248.0,862,0.87,300,269,293,67.01,28.29,45.31,54.1
2007,10,Bethlehem,121.0,358.0,479,0.87,161,186,132,42.52,22.19,36.13,54.5
2007,11,Bloomfield,466.0,227.0,693,1.42,129,273,291,43.15,30.39,10.47,37.8
2007,12,Bolton,214.0,165.0,379,1.57,43,132,204,49.37,10.15,7.93,39.6
2007,13,Bozrah,106.5,106.5,213,0.44,82,13,118,41.62,49.86,48.87,53.1
2007,14,Branford,458.0,197.0,655,0.43,123,280,252,77.17,24.15,35.65,49.0
2007,15,Bridgeport,87.0,66.0,153,0.67,26,43,84,76.17,20.67,23.79,29.1
2007,16,Bridgewater,372.0,409.0,781,0.91,303,294,184,46.8,36.96,36.58,18.7
2007,17,Bristol,99.0,234.0,333,0.41,6,103,224,81.8,21.38,39.03,38.1
2007,18,Brookfield,203.0,203.0,406,1.41,198,61,147,47.74,42.5,40.1,54.1
2007,19,Brooklyn,221.0,221.0,442,0.76,111,52,279,55.06,25.44,26.5,55.6
2007,20,Burlington,130.0,492.0,622,0.98,88,308,226,52.45,37.38,24.34,58.2
2007,21,Canaan,264.5,264.5,529,0.42,127,117,285,58.62,9.84,5.5,54.9
2007,22,Canterbury,308.0,524.0,832,1.1,229,320,283,52.73,43.08,46.7,42.4
