Year,Town Code,Town,Sheltered Homeless,Unsheltered Homeless,Total Homeless,Percentage of Homelessness,Homeless Youth,Homeless Veterans,Chronic Homeless,Percentage White,Percentage Black,Percentage Hispanic,Median Age
2011,1,Andover,15,512,527,0.91,35,248,244,50.68,40.13,10.48,37.6
2011,2,Ansonia,316.5,316.5,633,1.01,247,57,329,73.8,14.68,31.75,31.1
2011,3,Ashford,335,37,372,0.67,253,3,116,60.25,37.2,20.52,36.4
2011,4,Avon,327.5,327.5,655,0.91,213,235,207,86.58,41,6.57,33.1
2011,5,Barkhamsted,257,377,634,1.33,251,172,211,44.45,20.57,29.37,41.8
2011,6,Beacon Falls,496,152,648,0.66,69,321,258,65.58,12.77,22.45,28
2011,7,Berlin,215,215,430,0.33,233,35,162,85.93,5.12,9.55,59.5
2011,8,Bethany,415.5,415.5,831,0.78,328,278,225,85.21,25.29,41.09,39
2011,9,Bethel,159,155,314,1.15,15,236,63,47.83,20.86,46.18,26.2
2011,10,Bethlehem,474,218,692,0.56,173,274,245,58.33,29.97,39.05,38
2011,11,Bloomfield,249,249,498,0.37,186,295,17,70.96,13.46,42.01,54.4
2011,12,Bolton,326.5,326.5,653,1.06,293,327,33,47.97,43.68,14.74,18.9
2011,13,Bozrah,296,296,592,0.61,224,57,311,88.4,16.6,16.86,46.5
2011,14,Branford,306,306,612,0.82,273,17,322,85.74,15.19,14.38,41
2011,15,Bridgeport,113,113,226,1.47,11,35,180,48.35,26.63,39.43,25.1
2011,16,Bridgewater,379,251,630,1.14,309,128,193,46.06,27.45,47.66,52.3
2011,17,Bristol,204.5,204.5,409,1.53,218,0,191,44.27,14.68,37.26,33.5
2011,18,Brookfield,64.5,64.5,129,0.64,0,63,66,85.47,17.23,44.67,30.3
2011,19,Brooklyn,189.5,189.5,379,0.49,110,61,208,49.68,12.64,33.74,52.8
2011,20,Burlington,690,82,772,0.84,276,330,166,60.81,37.33,22.44,44.8
2011,21,Canaan,426,92,518,0.72,128,145,245,62.44,39.65,24.16,55.7
2011,22,Canterbury,303.5,303.5,607,0.14,92,271,244,69.95,25.8,8.39,44.5
2011,23,Canton,109.5,109.5,219,1.11,38,16,165,43.59,37.13,6.42,49.1
2011,24,Chaplin,834,55,889,0.9,315,279,295,51.34,38.12,36.3,53.1
2011,25,Cheshire,232.5,232.5,465,0.24,158,97,210,86.57,11.22,24.73,20.3
2011,26,Chester,416,127,543,1.07,185,226,132,85.42,48.48,29.85,50.6
2011,27,Clinton,167,526,693,1.08,255,242,196,79.06,41.95,30.09,43.8
2011,28,Colchester,243,243,486,1.2,238,200,48,40.97,14.2,17.48,20.9
2011,29,Colebrook,42,302,344,0.85,103,178,63,56.35,13.38,26.42,39.4
2011,30,Columbia,204,204,408,0.16,28,269,111,71.4,10.65,26.18,21.5
2011,31,Cornwall,284,221,505,0.25,88,233,184,53.76,11.23,22.48,48.9
2011,32,Coventry,132,132,264,1.25,50,111,103,85.48,38.67,41.93,41
2011,33,Cromwell,11,412,423,1.55,146,65,212,71.69,26.13,25.3,58.1
2011,34,Danbury,280.5,280.5,561,0.84,313,244,4,43.6,40.23,32.16,25.7
2011,35,Darien,301,96,397,1.1,35,244,118,85.45,38.58,45.3,43.5
2011,36,Deep River,301,301,602,0.4,283,71,248,87.89,32.21,43.98,26.9
2011,37,Derby,252,62,314,0.81,100,48,166,43.89,35.89,45.07,43.8
2011,38,Durham,498,38,536,0.8,106,189,241,66.62,5.83,17.15,48.4
2011,40,East Granby,753,108,861,0.51,290,292,279,55.17,19.03,6.57,48.3
2011,41,East Haddam,34,483,517,0.44,104,176,237,59.64,33.7,16.75,52.2
2011,42,East Hampton,342.5,342.5,685,0.78,220,160,305,48.98,5.42,17.54,53.8
2011,43,East Hartford,214,214,428,0.65,75,149,204,68.9,6.48,45.92,21.2
2011,44,East Haven,89,519,608,0.69,226,69,313,87.9,43.33,34.22,32.4
2011,45,East Lyme,57.5,57.5,115,0.72,83,32,0,65.15,35.78,8.68,46.9
2011,47,East Windsor,264,264,528,0.56,75,283,170,44.15,16.94,11.09,38.9
2011,39,Eastford,336.5,336.5,673,0.98,248,259,166,71,35.96,12.01,26
2011,46,Easton,416,416,832,0.77,254,321,257,57.01,40.66,33.37,41.2
2011,48,Ellington,93.5,93.5,187,0.52,49,76,62,82.8,18.81,38.09,35.1
2011,49,Enfield,417,172,589,1.27,209,109,271,61.73,6.62,43.68,34.4
2011,50,Essex,114,383,497,1.47,157,304,36,49.64,46.98,47.33,52
2011,51,Fairfield,240,240,480,1.26,327,138,15,49.56,20.53,14.08,35.1
2011,52,Farmington,259.5,259.5,519,0.55,232,34,253,78.44,9.79,18.94,19.1
2011,53,Franklin,195,141,336,1.51,76,234,26,53.28,27.13,15.81,20.4
2011,55,Goshen,330.5,330.5,661,0.6,222,329,110,78.36,39.58,21.14,54
2011,56,Granby,500,51,551,0.84,120,199,232,50.29,14.97,46.16,58.3
2011,57,Greenwich,625,71,696,0.52,309,324,63,56.08,17.13,30.88,46.9
2011,58,Griswold,492,80,572,0.67,326,150,96,63.27,15.92,38.22,33.3
2011,59,Groton,74,331,405,0.76,106,33,266,87.16,49.63,27.06,57.4
2011,60,Guilford,412,276,688,0.69,240,123,325,86.59,13.88,6.3,45.8
2011,61,Haddam,144.5,144.5,289,0.43,27,31,231,50.34,30.9,7.89,53.5
2011,62,Hamden,419,90,509,0.78,191,271,47,57.91,46.64,29.21,50.2
2011,63,Hampton,728,52,780,0.26,248,323,209,47.47,11.61,37.35,33.9
2011,64,Hartford,276,320,596,0.75,212,309,75,65.5,48.69,14.69,38.1
2011,65,Hartland,194.5,194.5,389,0.31,20,123,246,63.03,47.64,37.49,25.8
2011,66,Harwinton,675,109,784,5.9,154,315,315,85.04,44.81,41.48,30.3
2011,67,Hebron,85,85,170,1.23,26,77,67,86.5,14.66,23.54,50.7
2011,68,Kent,231.5,231.5,463,0.87,76,75,312,59.18,33.53,38.59,55.5
2011,69,Killingly,213.5,213.5,427,1.37,305,59,63,64.59,39.24,23.18,48.4
2011,70,Killingworth,160.5,160.5,321,0.33,56,84,181,84.81,49.37,35.53,37.5
2011,71,Lebanon,191,85,276,1.34,118,79,79,80.34,13.12,39.38,21.6
2011,72,Ledyard,268.5,268.5,537,1.1,164,171,202,40.18,39.47,49.64,20.4
2011,73,Lisbon,250.5,250.5,501,0.64,63,257,181,56,20.25,20.54,33.7
2011,74,Litchfield,98,440,538,1.01,47,278,213,61.09,12.9,23.5,37.5
2011,75,Lyme,244,244,488,0.94,149,220,119,51.49,23.96,12.45,43.6
2011,76,Madison,221,221,442,0.57,157,45,240,49.98,40.72,14.18,18.3
2011,77,Manchester,214,214,428,0.52,155,72,201,41.89,25.92,36.2,59.6
2011,78,Mansfield,95,399,494,0.58,150,53,291,72.17,29.19,46.27,33.3
2011,79,Marlborough,301.5,301.5,603,1.1,224,326,53,53.13,49.78,22.76,53.6
2011,80,Meriden,311.5,311.5,623,0.55,259,220,144,42.62,22.96,13.09,40.5
2011,81,Middlebury,189,159,348,1.1,255,8,85,51.55,32.69,17.83,23.5
2011,82,Middlefield,203,203,406,0.28,60,325,21,80.1,21.44,25.48,51.5
2011,83,Middletown,36,724,760,1.17,259,171,330,82.57,22.68,18.08,47.8
2011,84,Milford,347,347,694,0.82,320,83,291,64.15,36.3,15.51,40.2
2011,85,Monroe,368,357,725,0.98,161,329,235,60.8,47.2,38.12,39.6
2011,86,Montville,193,193,386,0.7,30,328,28,88.89,29.41,5.35,21.7
2011,87,Morris,131.5,131.5,263,1.48,70,11,182,50.03,39.58,29.27,45.5
2011,88,Naugatuck,95.5,95.5,191,0.64,1,31,159,50.77,9.01,40.72,56.3
2011,89,New Britain,216,138,354,1.45,49,288,17,54.59,14.5,16.98,21.9
2011,90,New Canaan,245,245,490,0.81,134,319,37,48.64,27.6,32.15,29.1
2011,91,New Fairfield,274,274,548,0.66,145,303,100,58.97,5.9,35.1,55.9
2011,92,New Hartford,369,369,738,0.98,178,271,289,85.54,16.38,34.48,29.9
2011,93,New Haven,272,340,612,0.33,263,177,172,70.77,28.28,25.06,45.5
2011,95,New London,244.5,244.5,489,0.93,310,113,66,60.6,5.67,20.6,40.5
2011,96,New Milford,61,357,418,0.75,203,25,190,86.72,16.9,42.62,43
2011,94,Newington,288,288,576,1.4,298,236,42,42.42,28.13,39.13,35.5
2011,97,Newtown,308.5,308.5,617,1.01,186,309,122,50.51,30.79,19.46,30.6
2011,98,Norfolk,238.5,238.5,477,1.36,29,171,277,68.29,46.66,9.64,20
2011,99,North Branford,341,144,485,0.77,58,232,195,70.78,34.04,8.23,49.3
2011,100,North Canaan,188,188,376,0.17,8,36,332,41.98,23.66,9.24,49.3
2011,101,North Haven,698,13,711,0.55,323,264,124,60.15,46.87,31.23,46.2
2011,102,North Stonington,18,255,273,0.69,166,12,95,72.46,40.32,7.32,45
2011,103,Norwalk,176,573,749,0.14,278,315,156,74.9,14,20.16,28.2
2011,104,Norwich,167,167,334,0.93,190,105,39,71.91,10.89,38.89,18.9
2011,105,Old Lyme,395,143,538,1.23,241,125,172,56.03,35.41,18.25,52
2011,106,Old Saybrook,444,134,578,1.03,277,129,172,44.68,30.19,39.35,38.6
2011,107,Orange,232,355,587,0.51,153,315,119,61.36,40.54,38.55,30.9
2011,108,Oxford,343,343,686,1.19,159,255,272,46.44,38.25,16.06,22.3
2011,109,Plainfield,75,621,696,0.27,264,114,318,87.38,33.13,37.8,20.6
2011,111,Plymouth,264,528,792,0.87,234,298,260,63.76,49.39,38.65,32.7
2011,112,Pomfret,454,147,601,0.58,198,123,280,55.86,29.01,22.89,51.8
2011,113,Portland,307.5,307.5,615,0.69,32,255,328,78.32,10.09,14.47,56.6
2011,114,Preston,174.5,174.5,349,0.85,88,138,123,64.9,42.27,28.46,55.7
2011,115,Prospect,288,288,576,0.58,94,205,277,55.5,16.33,46.46,56.6
2011,116,Putnam,179,179,358,1.19,220,46,92,80.6,39.98,33.78,56.1
2011,117,Redding,159,159,318,1.06,68,216,34,83.36,48.07,12.78,40.1
2011,118,Ridgefield,850,71,921,0.67,293,318,310,73.65,36.36,35.72,27.2
2011,119,Rocky Hill,242.5,242.5,485,1.18,236,122,127,42.35,31.82,24.22,51.5
2011,120,Roxbury,104,104,208,0.51,159,30,19,68.32,25.72,31.62,27
2011,121,Salem,143,490,633,0.75,319,54,260,78.16,21.4,38.03,29.2
2011,122,Salisbury,322.5,322.5,645,1.53,327,152,166,46.83,20.89,28.17,27.8
2011,123,Scotland,68,810,878,1.18,275,285,318,51.43,33.64,41.63,39.6
2011,124,Seymour,98,461,559,1.07,289,35,235,84.12,38.81,37.5,31.5
2011,125,Sharon,188.5,188.5,377,0.32,41,305,31,41.01,35.53,32.68,24.5
2011,126,Shelton,24,555,579,1.03,65,284,230,77.64,13.93,11.79,37
2011,127,Sherman,232.5,232.5,465,1.23,20,255,190,63.69,27.23,42.62,54.7
2011,128,Simsbury,287.5,287.5,575,0.45,69,177,329,62.34,40.62,47.12,42
2011,129,Somers,219.5,219.5,439,1.19,260,35,144,40.35,26.41,11.16,54.9
2011,132,South Windsor,483,115,598,1.15,245,253,100,80.97,29.15,26.97,26.2
2011,130,Southbury,280.5,280.5,561,0.39,322,161,78,57.99,39.7,16.65,25
2011,131,Southington,150,263,413,0.41,234,20,159,67.04,34.76,38.95,42.2
2011,133,Sprague,143,675,818,0.99,271,293,254,73.87,23.42,37.47,37.5
2011,134,Stafford,225,225,450,3.2,98,74,278,75.13,45.29,11.34,45.7
2011,135,Stamford,38,683,721,1.39,328,206,187,87.8,12.32,44.47,51.4
2011,136,Sterling,108,312,420,0.91,34,177,209,66.57,49.8,13.14,49.6
2011,137,Stonington,223,223,446,0.85,170,36,240,59.99,10.35,40.88,57.6
2011,138,Stratford,41,242,283,1.57,109,119,55,87.69,5.67,25.56,34.7
2011,139,Suffield,185,362,547,0.3,294,117,136,72.11,45.05,19.77,26.7
2011,140,Thomaston,57,57,114,0.55,9,0,105,54.91,16.02,12.12,41.1
2011,141,Thompson,397,80,477,1.03,201,208,68,46.32,37.84,12.54,22.7
2011,142,Tolland,222,533,755,0.37,256,310,189,82.13,41.5,34.79,30.1
2011,143,Torrington,633,26,659,0.72,261,207,191,58.11,43.65,29.77,26.7
2011,144,Trumbull,132,478,610,0.92,180,153,277,73.02,49.62,10.49,34.7
2011,145,Union,162,183,345,1.35,65,249,31,63.54,18.23,10.07,22.7
2011,146,Vernon,214,423,637,0.99,293,170,174,49.95,36.96,8.25,19.3
2011,147,Voluntown,365.5,365.5,731,1.39,160,314,257,70.08,10.19,38.47,45.6
2011,148,Wallingford,234,260,494,0.39,66,306,122,43.03,23.31,37.03,43.6
2011,149,Warren,144.5,144.5,289,1.24,99,106,84,60.67,43.16,7.63,47.8
2011,150,Washington,216.5,216.5,433,1.19,76,142,215,67.33,21.54,30.21,45.7
2011,151,Waterbury,128,128,256,1.06,34,7,215,61.8,31.6,8.81,22.8
2011,152,Waterford,75,75,150,0.44,44,93,13,77.43,27.67,45.67,30.2
2011,153,Watertown,8,273,281,0.8,149,96,36,81.4,34.07,45.82,23.4
2011,155,West Hartford,73,26,99,0.92,67,6,26,78.56,48.78,36.42,53.4
2011,156,West Haven,338.5,338.5,677,1.08,253,273,151,41.94,7.51,46.68,49.4
2011,154,Westbrook,45,45,90,0.35,16,11,63,49.71,30.83,41.52,26.5
2011,157,Weston,165,165,330,0.73,260,1,69,66.83,43.84,42.28,32.3
2011,158,Westport,252,119,371,0.8,212,6,153,86.74,26.66,30.64,58.6
2011,159,Wethersfield,229,346,575,0.66,312,11,252,81.75,8.53,18.77,43
2011,160,Willington,518,63,581,0.68,255,56,270,82.13,30.22,14.8,51.6
2011,161,Wilton,173,147,320,1.07,215,77,28,55.16,19.94,19.72,29.1
2011,162,Winchester,215.5,215.5,431,1.31,285,73,73,61.47,11.97,33.28,26.8
2011,163,Windham,167,354,521,0.93,6,232,283,63.54,43.21,12.77,50.9
2011,164,Windsor,169,365,534,0.93,198,278,58,47.87,28.47,16.64,46.8
2011,165,Windsor Locks,180.5,180.5,361,0.31,90,29,242,41.55,47,26.06,46.6
2011,166,Wolcott,393.5,393.5,787,0.61,146,313,328,87.35,41.27,15.49,41.2
2011,167,Woodbridge,195.5,195.5,391,1.09,149,94,148,52.04,36.18,31.49,41.7
2011,168,Woodbury,183.5,183.5,367,0.03,51,307,9,52,5.23,46.54,48.9
2011,169,Woodstock,193,235,428,0.82,242,55,131,44.17,24.25,38.66,29.3
2012,1,Andover,144,144,288,0.5,218,9,61,86.43,13.89,34.99,32.8
2012,2,Ansonia,28,384,412,1.02,5,146,261,68.99,45.99,31.22,54.6
2012,3,Ashford,164,247,411,1.06,108,86,217,73.35,12.86,26.96,31
2012,4,Avon,421,127,548,0.05,65,252,231,85.58,17.87,13.4,40.9
2012,5,Barkhamsted,133,133,266,1.14,9,186,71,57.28,28.26,45.26,47.5
2012,6,Beacon Falls,224,224,448,1.31,201,232,15,71.08,16.85,16.18,60
2012,7,Berlin,495,75,570,1.06,281,252,37,41.94,14.44,9.11,36.3
2012,8,Bethany,364,248,612,0.24,213,223,176,49.34,31.96,38.75,36
2012,9,Bethel,195,195,390,0.76,67,3,320,81.56,9,12.9,53.4
2012,10,Bethlehem,341,98,439,0.52,246,111,82,78.34,7.62,21.74,51.8
2012,11,Bloomfield,499,35,534,1.08,326,192,16,57.53,21.75,6.27,48.7
2012,12,Bolton,172,172,344,1.14,49,140,155,58.84,37.43,11.17,37.5
2012,13,Bozrah,254.5,254.5,509,0.27,16,322,171,66.68,29.97,12.79,31.6
2012,14,Branford,109,109,218,0.8,10,139,69,40.01,24.03,7.45,43.6
2012,16,Bridgewater,216,256,472,0.86,308,94,70,52.06,30.46,34.55,54.8
2012,17,Bristol,300,299,599,0.5,305,40,254,50.41,21.45,42.67,55.1
2012,18,Brookfield,131,123,254,0.92,123,1,130,52.52,47.13,21.8,22.6
2012,19,Brooklyn,274.5,274.5,549,1.57,224,277,48,80.3,7.47,44.36,36
2012,20,Burlington,69,343,412,0.42,243,149,20,53.98,35.3,14.6,37.5
2012,21,Canaan,251,425,676,0.87,317,40,319,49.58,45.11,19.64,59.1
2012,22,Canterbury,414,251,665,1.6,331,115,219,65.21,41.17,11.78,46.5
2012,23,Canton,166.5,166.5,333,1.47,28,119,186,83.28,13.28,32.93,35.1
2012,24,Chaplin,444,107,551,0.72,284,236,31,52.07,18.32,23.89,19.1
2012,25,Cheshire,264.5,264.5,529,1.33,58,269,202,43.93,37.27,32.6,41.7
2012,26,Chester,181,526,707,1.17,142,290,275,57.82,8.79,39.28,22
2012,27,Clinton,166,408,574,0.95,325,8,241,77.38,41.53,29.56,53
2012,28,Colchester,90,462,552,1.24,299,238,15,67.53,37.35,33.24,49.6
2012,29,Colebrook,328.5,328.5,657,1.6,225,117,315,80.84,37.83,47.09,37.3
2012,30,Columbia,324.5,324.5,649,0.8,163,314,172,87.98,9.51,18.46,36
2012,31,Cornwall,530,0,530,0.97,83,311,136,79.63,37.3,21.16,55.7
2012,32,Coventry,38,461,499,1.23,312,9,178,70.19,35.59,37.3,30.1
2012,33,Cromwell,125,75,200,1.41,116,24,60,64.67,42.39,32.51,28.5
2012,34,Danbury,450,144,594,1.43,319,172,103,42,6.87,13.03,57.4
2012,35,Darien,172,571,743,0.84,203,224,316,89.22,6.04,21.93,52
2012,36,Deep River,248.5,248.5,497,1.11,293,10,194,59.17,21.79,26.05,52.5
2012,37,Derby,249.5,249.5,499,0.99,144,100,255,47.61,11.7,23.87,26.2
2012,38,Durham,219,146,365,0.52,26,264,75,73.34,30.13,13.02,24
2012,40,East Granby,306,306,612,0.53,16,326,270,54.21,46.28,46.6,19.1
2012,41,East Haddam,57,267,324,4,62,82,180,69.29,22.62,39.3,28
2012,42,East Hampton,659,13,672,0.39,266,275,131,69.34,43.02,26.66,50.5
2012,43,East Hartford,236.5,236.5,473,1.06,63,260,150,62.29,5.01,35.6,28.1
2012,44,East Haven,206,206,412,0.41,38,220,154,81.81,12.58,45.38,48.6
2012,45,East Lyme,336.5,336.5,673,1.37,129,310,234,53.25,6.37,11.13,28.6
2012,47,East Windsor,289.5,289.5,579,0.65,114,218,247,62.43,19.77,16.27,34.6
2012,39,Eastford,148,148,296,1.42,44,88,164,66.88,45.87,29.42,59.3
2012,46,Easton,216.5,216.5,433,1.44,215,14,204,73.18,9.36,40.96,28.3
2012,48,Ellington,0,496,496,0.86,87,245,164,79.2,32.29,6.63,33.8
2012,49,Enfield,386,177,563,0.64,176,175,212,59.74,25.32,49.28,30.6
2012,50,Essex,260,260,520,0.47,264,3,253,72.3,47.23,25.47,22.6
2012,51,Fairfield,347,246,593,1.14,104,333,156,47.53,10.51,21.17,38.6
2012,52,Farmington,189,340,529,1.19,333,20,176,86.63,14.54,18.17,33.9
2012,53,Franklin,504,77,581,1.05,300,207,74,59.15,6.33,12.85,47.2
2012,54,Glastonbury,190,293,483,0.74,170,136,177,76.48,24.53,40.62,52.3
2012,55,Goshen,507,204,711,1.07,107,321,283,41.02,17.5,47.99,40.9
2012,56,Granby,368,336,704,0.68,160,215,329,50.26,44.15,23.61,19.4
2012,57,Greenwich,408,122,530,1.07,282,116,132,64.35,32.22,47.86,44
2012,58,Griswold,170.5,170.5,341,1.33,39,178,124,83.91,32.63,42.07,20.3
2012,59,Groton,290.5,290.5,581,1.2,25,245,311,66.36,28.94,26.65,43.9
2012,60,Guilford,264,264,528,0.95,82,127,319,86.49,9.13,35.33,46.8
2012,61,Haddam,116,259,375,0.68,172,77,126,64.19,25.03,24.57,26.3
2012,62,Hamden,133,491,624,0.28,172,228,224,64.52,49.98,30.14,52.4
2012,63,Hampton,57,532,589,0.15,281,292,16,45.99,42.59,7.61,56.3
2012,64,Hartford,555,85,640,0.17,69,261,310,80.13,45.21,36.33,52.1
2012,65,Hartland,324,324,648,1.14,322,81,245,52.35,42.05,7.38,30.8
2012,66,Harwinton,223.5,223.5,447,0.77,5,306,136,84.98,9.64,41.77,42.6
2012,67,Hebron,172,392,564,0.75,283,65,216,85.54,15.24,42.12,56.4
2012,68,Kent,242,242,484,1.52,194,95,195,87.17,5.14,15.67,31.5
2012,69,Killingly,178,178,356,1.24,12,144,200,66.01,18.66,19.56,52.4
2012,70,Killingworth,148,184,332,0.5,62,64,206,73.85,9.89,26.66,18.4
2012,71,Lebanon,17.5,17.5,35,1.17,12,8,15,78.93,26.28,31.85,18.2
2012,72,Ledyard,222.5,222.5,445,0.43,248,185,12,46.55,35.47,17.93,49.9
2012,73,Lisbon,212,226,438,0.64,204,157,77,70.05,44.35,31.66,50
2012,74,Litchfield,202,293,495,1.18,252,30,213,41.71,38.71,18.4,51.1
2012,75,Lyme,258.5,258.5,517,0.69,39,150,328,64.88,47.24,7.5,57.1
2012,76,Madison,228,372,600,0.74,164,318,118,47.74,7.43,5.11,23
2012,77,Manchester,225.5,225.5,451,0.59,30,241,180,49.15,5.55,9.55,27.7
2012,78,Mansfield,226,268,494,0.55,16,155,323,58.25,34.76,40.65,56
2012,79,Marlborough,261.5,261.5,523,1.2,136,58,329,61.62,18.02,48.26,25.4
2012,80,Meriden,232,232,464,1.47,319,9,136,71.16,16.41,24.21,46.7
2012,81,Middlebury,440,173,613,0.77,312,123,178,43.72,19.89,28.07,40.3
2012,82,Middlefield,401,251,652,0.73,164,281,207,65.18,17.14,11.61,21.5
